타임스탬프,[1-1] 귀하의 성별은 어떻게 되십니까?,[1-2] 귀하의 연령은 어떻게 되십니까(만나이로 입력하세요. Ex: 2001년생 - 24세),[1-3] 귀하의 학력은 어떻게 되십니까?,5열,6열,7열,[2-1] 귀하는 인스타그램을 사용하십니까?,[2-2] 귀하가 가장 선호하는 SNS는 무엇입니까? (택1),[2-3] 귀하의 하루 평균 인스타그램 접속 횟수는 어느 정도입니까?,[2-4] 귀하의 하루 평균 인스타그램 이용 총시간은 어느 정도입니까?,[2-5] 귀하가 인스타그램을 이용하는 가장 큰 이유는 무엇입니까? (택1),"[2-6]  릴스 30개를 시청할 때, 평균적으로 노출되는 메타 광고(스폰서 릴스)는 몇 개 정도인가요? ",[3-1] 나는 종종 즉흥적으로 물건을 산다.,32,[3-3] 나는 자주 별로 생각하지 않고 물건을 산다.,34,35,36,37,38,39,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,41,42,43,44,45,46,47,48,49,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427
2025. 11. 16 오후 10:34:21,여,35,대학교 졸업(전문대학 포함),,,,예,인스타그램,가끔씩 (2~5회),10분 미만,개인의 일상생활/관심사 기록,,2,2,2,1,1,1,2,2,1,1,1,1,2,3,2,2,2,2,3,3,2,4,3,3,2,2,1,2,1,1,1,1,3,3,3,3,2,2,2,4,3,3,4,4,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3
2025. 11. 16 오후 10:51:02,남,21,대학교 재학(전문대학 포함),,,,예,인스타그램,수시로 접속 (10회 이상),2~4시간 미만,개인의 일상생활/관심사 기록,,5,2,4,5,5,1,4,5,5,5,5,1,5,5,5,5,5,3,4,5,5,5,5,5,5,5,4,5,5,1,1,3,4,3,4,4,4,1,4,5,4,4,5,3,4,5,3,4,3,4,5,5,4,4,5,5,4,3,5
2025. 11. 16 오후 10:58:35,남,22,대학교 재학(전문대학 포함),,,,예,인스타그램,거의 습관적으로 자주 (30회 이상),5시간 이상,개인의 일상생활/관심사 기록,,5,2,3,5,4,4,5,4,5,3,5,4,5,5,4,4,5,3,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,5,5,4,5,4,5,4,5,5,5,5,5,5,4,4,4,5,4,5,4,5,4,4,4,4,4
2025. 11. 16 오후 11:15:16,여,21,대학교 재학(전문대학 포함),,,,예,인스타그램,가끔씩 (2~5회),30분~1시간 미만,단순한 시간 소모,,3,2,1,1,4,5,1,3,3,4,5,3,2,3,2,2,2,3,2,1,2,1,1,1,4,4,5,2,2,5,5,5,1,1,3,2,2,1,1,1,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
2025. 11. 17 오전 1:53:36,여,20,대학교 재학(전문대학 포함),,,,예,인스타그램,하루 종일 접속해놓고 있다,4~5시간 미만,개인의 일상생활/관심사 기록,,4,2,4,5,4,3,4,4,4,4,5,4,5,5,4,4,5,4,5,4,5,5,3,5,2,3,3,5,4,4,5,4,5,4,4,3,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5,4,4,5,5,5,4
2025. 11. 17 오전 9:50:23,여,23,대학교 재학(전문대학 포함),,,,예,인스타그램,거의 습관적으로 자주 (30회 이상),2~4시간 미만,최신 트렌드 파악,,3,2,3,2,4,5,1,2,1,5,4,5,4,5,5,4,2,3,4,3,5,2,3,3,5,3,2,3,2,5,2,5,3,2,5,3,3,2,3,2,4,3,5,3,2,2,2,1,1,1,1,5,3,5,5,5,2,2,2
2025. 11. 17 오전 10:03:53,남,23,대학교 재학(전문대학 포함),,,,예,인스타그램,거의 습관적으로 자주 (30회 이상),4~5시간 미만,사업·업무·학업 정보 획득,,4,2,4,4,4,1,4,5,5,4,5,3,5,3,4,5,4,5,5,4,3,4,5,4,5,5,1,4,5,4,2,4,4,5,4,4,4,4,4,5,4,4,5,5,4,4,4,4,4,4,5,4,4,5,4,4,5,5,5
2025. 11. 17 오후 3:38:51,남,24,대학교 재학(전문대학 포함),,,,예,인스타그램,수시로 접속 (10회 이상),2~4시간 미만,공통 관심사 기반 친목,,4,2,2,2,4,3,4,4,4,4,4,2,3,2,5,5,5,3,4,4,4,3,2,4,2,4,2,3,4,4,2,3,2,2,4,4,4,3,3,2,4,4,4,1,4,4,4,2,2,5,1,1,1,1,1,1,1,1,1
2025. 11. 17 오후 8:45:45,남,26,대학교 졸업(전문대학 포함),,,,예,인스타그램,거의 습관적으로 자주 (30회 이상),1~2시간 미만,개인의 일상생활/관심사 기록,10,3,2,2,2,3,3,3,2,3,3,4,3,4,4,4,2,1,3,3,2,3,3,2,3,3,3,2,2,2,4,2,4,3,2,4,2,3,2,2,2,2,1,3,3,2,1,3,1,1,2,2,2,2,2,4,4,1,1,1
2025. 11. 17 오후 8:55:47,남,21,대학교 재학(전문대학 포함),,,,예,인스타그램,거의 습관적으로 자주 (30회 이상),2~4시간 미만,최신 트렌드 파악,2,4,2,5,4,4,2,4,5,5,5,5,1,5,4,4,2,5,4,5,5,5,4,4,3,2,2,2,5,5,3,2,3,5,4,5,4,4,4,4,5,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4
2025. 11. 17 오후 9:08:38,남,23,대학교 재학(전문대학 포함),,,,예,페이스북,가끔씩 (2~5회),2~4시간 미만,공통 관심사 기반 친목,4,2,2,2,3,4,4,4,3,2,3,4,3,4,5,4,3,4,2,3,3,4,4,4,1,5,4,4,4,1,1,5,5,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,5,4,5,1,1,1
